"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000506875515979405,0.274180887314204,0.646,0.512,1,"2","RSPO2"
0.00050959413590315,0.461085635413543,0.697,0.599,1,"2","LRRC8A"
0.000510393903003196,0.471203139121126,0.938,0.918,1,"2","APLP2"
0.000512721097471352,0.655783350087581,0.32,0.203,1,"2","KALRN"
0.000516679619629096,0.27027789492832,0.994,0.99,1,"2","ENO1"
0.000518098568718452,0.635016842796608,0.438,0.302,1,"2","USP38"
0.000521887266504062,0.701420258992038,0.657,0.589,1,"2","LUZP1"
0.000553220538632508,0.391942885355529,0.831,0.73,1,"2","ADRM1"
0.000571354546807818,0.50243481159734,0.826,0.743,1,"2","OSER1"
0.000618771501884002,0.382718606510995,0.927,0.901,1,"2","SDCBP"
0.000631835941291142,0.845356953596672,0.545,0.426,1,"2","SLC41A1"
0.000656276677349538,1.08792486167073,0.596,0.487,1,"2","NUP98"
0.000666695140741485,0.602858502016165,0.669,0.569,1,"2","LGALSL"
0.000674112681056904,0.30897160723934,0.848,0.753,1,"2","JUND"
0.000676105649573789,0.402509813134568,0.854,0.797,1,"2","SGMS2"
0.000702999018029992,0.96710382968664,0.449,0.337,1,"2","IL1RL1"
0.000708428369330891,0.346306587425985,0.657,0.515,1,"2","KIF21A"
0.00071098545655928,1.19883939874668,0.494,0.384,1,"2","MT1A"
0.000722865802925752,0.710149384531984,0.539,0.413,1,"2","FER"
0.000738389515583315,0.547128523853051,0.635,0.527,1,"2","TRMT10C"
0.000795220957325976,0.865637618927674,0.517,0.42,1,"2","POLE4"
0.000804499767073865,1.05024807411668,0.579,0.515,1,"2","PTTG1"
0.000805165397783483,0.726429427866698,0.657,0.583,1,"2","NGDN"
0.0008055246549478,1.19678442556844,0.354,0.251,1,"2","NFKBIB"
0.000825660726232726,0.499554277760825,0.775,0.704,1,"2","COQ10B"
0.000849552692932294,0.296779948382666,0.978,0.963,1,"2","UBE2D3"
0.000852049409143804,0.898124993515451,0.36,0.248,1,"2","DIO2"
0.000898936981990974,1.02899010934217,0.298,0.198,1,"2","MARCKSL1"
0.000900449604302518,0.387751163037284,0.916,0.895,1,"2","ATP6V0C"
0.000925414327063775,0.830777364973978,0.421,0.333,1,"2","SH2D4A"
0.000971258945647923,0.937153276280779,0.556,0.472,1,"2","STAM"
0.0010419040146008,0.661731663546915,0.601,0.493,1,"2","ANKRD28"
0.00104966128852837,0.522050906795199,0.478,0.365,1,"2","UPF3B"
0.0010748528792512,0.662944837960928,0.618,0.523,1,"2","CPSF6"
0.00109568118754209,0.825894451069648,0.399,0.289,1,"2","PPRC1"
0.00113245758254383,0.255210272082714,0.393,0.269,1,"2","COTL1"
0.00113382476026034,0.588958948361508,0.747,0.678,1,"2","IPO5"
0.00118333687038535,1.15991827807697,0.264,0.171,1,"2","LOC646626"
0.00119986090278529,1.04342071095088,0.287,0.189,1,"2","DRAM1"
0.0012154649279221,0.329173152466831,0.815,0.701,1,"2","SNHG15"
0.0012395986020377,0.664567354382744,0.287,0.187,1,"2","STK17B"
0.00126076028261134,0.364883923926809,0.86,0.773,1,"2","CTNNAL1"
0.00126194398832339,0.634099329079805,0.831,0.788,1,"2","G3BP1"
0.00129085287621271,0.528363340529789,0.82,0.807,1,"2","CHAC1"
0.00134190907771583,0.662784335105489,0.725,0.609,1,"2","TMEM165"
0.00135085029396247,0.402726920340188,0.77,0.714,1,"2","NDUFAF4"
0.00136253654923873,0.617278450192129,0.809,0.751,1,"2","KIF5B"
0.00136681937320984,0.665949175484879,0.691,0.622,1,"2","TIMM44"
0.00139497404258391,0.498569102354779,0.719,0.65,1,"2","NXT1"
0.00143058529290591,0.336268148501919,0.933,0.908,1,"2","LAMTOR5"
0.00144583292994306,0.563447594557546,0.803,0.732,1,"2","DHX15"
0.00145923835981851,0.454311374058993,0.371,0.258,1,"2","CNP"
