"","GSM3316962","GSM3316963","GSM3316964","GSM3316965","GSM3316966","GSM3316967","GSM3316968","GSM3316969","GSM3316970","GSM3316971","GSM3316972","GSM3316973","GSM3316974","GSM3316975","GSM3316976","GSM3316977","GSM3316978","GSM3316979","GSM3316980","GSM3316981","GSM3316982","GSM3316983","GSM3316984","GSM3316985"
"A1BG",9.91093840803911,10.2779801517555,10.4381362784472,10.0882958903948,10.3343387918906,10.039383518425,10.4456609687238,10.4707595196287,10.1581457142634,10.0504089703675,10.7227676633663,9.9653012861148,10.0198767415904,10.1453417746018,11.4139112749539,9.555031136869,9.64804126382956,10.4313387503918,10.7947714355,9.97257642355093,10.0079427293214,10.5259929183227,9.83719675581762,10.3038023917193
"A1BG-AS1",10.2208662234451,10.4648223247714,10.1970485494447,10.5504307387064,9.93928694525986,10.4152019768268,10.2852964166969,9.92208661249569,10.7041087677313,10.7823107258115,10.5226941108602,10.2036750663403,10.2934912628612,10.9431712070143,9.75676099427379,10.3116293517789,9.8974292232243,10.6007932892808,9.76943192102965,10.3318795204781,9.90803159159886,10.0381955716058,9.40332056404807,10.6090135353041
"A1CF",10.672050963718,10.9691076628206,10.7170593965132,10.6590610541517,10.378226323074,10.6483195496839,10.7806570448716,10.6452928784307,10.7305068951776,10.5527338972766,10.6502704731203,10.8308627466753,11.0222309485821,11.1732822285522,4.91042408195915,10.6206570421319,10.7259597274493,10.7211947030348,7.53393345741508,11.2962778616882,10.9556594160489,10.8155029744085,11.169423931945,10.6404995905174
"A25969",10.0777652068218,10.4537400236639,10.0911524613891,8.6526900619855,10.220459051921,9.86790534107182,9.16464863882889,10.0927123722148,9.82546302377144,10.6741278175531,9.38591306347877,10.414996283751,10.0881299239965,10.5367727762262,6.74515508544462,10.0487576863814,10.2908572288324,9.98821994022192,6.72943713085705,11.12628118424,8.86087833340192,9.83126729743269,10.9933604640689,10.355648997404
"A2M",11.676822725875,11.4312395716738,12.0840713543122,13.09190157052,12.7427462956217,12.5965846182795,13.1372468188952,11.7496771173238,12.6081346503818,12.5350876848448,12.331057812127,12.949642723565,14.0591049186691,11.9524339831676,15.1508847166612,11.9899696816295,13.8575002833882,11.5015993741428,14.6767318283425,10.2736860786387,12.0326275783638,11.1985015872653,11.5937773113034,13.0821066900924
"A2M-AS1",10.9869654519348,10.9462564481108,10.9346898141315,11.1794346689958,11.0188455475303,11.0818981309262,11.3477353780133,10.9844726742108,11.0589724172985,10.9926513445414,11.1871734387621,11.1925233620652,10.9714391380319,10.9531819407516,12.3918821265723,10.5705029733214,11.0377918849437,10.8390162647834,12.0697113870264,10.8481871359731,10.8887017391121,10.5747749233073,10.6724468774051,10.8400797211805
"A2ML1",8.42261333566654,9.02844935402732,8.39126343775863,7.95208964132759,7.96367220413535,8.46296321510708,8.37554284709794,8.05500673971987,8.93756923850219,8.74762758020547,7.93364249984135,7.62408882050774,7.77532386467274,8.65839475289539,6.44214231633116,8.05820937962998,8.34958000549118,8.67428200309053,7.560509158817,8.6069778615225,8.66777960116509,7.93679363319579,8.46138980437764,8.38434935958193
"A2MP1",13.3344599864305,12.8012400780504,12.843944160304,11.943037281332,12.8348713834991,12.158386216236,12.1144666878975,11.9712842932011,12.3780990933933,11.7688455507316,12.1414803519322,12.2232292060112,12.4358764124559,11.9031292801233,9.95518434079306,12.1449899218268,12.4484168031248,12.2730164550198,9.81947284668556,12.0276185236061,13.3100407834391,11.6981336011051,13.2681717087772,12.1136749070496
"A3GALT2",7.93854790822115,8.66852218265505,8.2298916281943,8.0326284664772,7.6996883307012,8.39946633447168,8.17104503318985,7.81022975773411,8.21571550761497,8.14406783594903,8.29416539350102,8.43259839801789,8.59894974155619,8.80538808005108,9.61388292181194,8.47701269644041,8.30328449440919,9.13264351466069,8.45726137352657,8.16933154402026,7.99552110366206,8.27977592574945,7.70079721253174,8.79246999331188
"A4GALT",12.1226193146626,11.6301194816306,12.4148256986089,12.7204093090953,11.9784453316003,12.1265213963363,12.4263646624095,12.2486471436669,11.2908046000091,12.9140769907986,13.1551832906002,12.5146454414557,12.4062780780064,12.3700009759894,14.3365101232485,11.854089846395,12.167200638508,12.0715163853603,13.7546364725358,12.2324067234977,11.9748016121996,12.6579681071269,11.8897404102775,12.3365303298037
"A4GNT",8.48813260469059,8.71313013149282,7.89359658873647,8.86939919198604,8.29252984566648,9.19762213645731,8.71551424423872,7.77118536284206,8.51823025250175,8.2232601810514,8.81954526729495,8.69206392081857,9.10776973584345,9.02924295778903,8.2270813378439,8.46901711126869,8.3195115362196,8.98081690858239,8.810100082134,8.6933974289047,8.51389471563362,8.88978194879659,9.14084791808557,9.18093591162043
"AA06",9.76970960401237,9.46315187172168,9.43695053872855,8.95910365995254,9.59741175765286,9.69738851831719,9.19971898103987,9.04704304971475,9.28875951940805,8.98674332148089,8.95413443639848,9.55121727330003,9.52254355192048,9.51971979314344,9.56297178471111,10.3082827711962,9.33058957206756,9.68353181617993,9.6796179717652,9.19074497267898,8.97443295736148,8.99533893572355,9.68506430479514,9.06519615524514
"AA489744",13.3365230855216,12.3828129771001,13.4323132612144,12.2546974664532,12.6085958843234,12.473391657271,12.7088920256273,13.4457354719776,12.3017951481301,12.7450764282764,11.7281131388077,12.9638014188597,11.8260377914583,12.8723606258899,10.6630027120218,13.0158100703237,11.9479165663213,11.5404755829073,10.8896730994935,13.0720134745613,12.8195250880629,12.2666203803017,13.63534468042,12.1076615143352
"AA496144",10.8904778105168,11.3252501160554,10.7333106240817,10.8711479835622,10.7852138253735,11.0770701459108,11.1608234403082,10.5262255558913,11.3621140361269,10.9704453228602,11.2497158837219,11.1103571468318,10.6947418086453,11.6986147073861,7.99014519026012,11.3039606303576,10.6773527064524,11.8246227404105,9.47336344284611,11.4040252622405,10.9053561494273,11.3260208778361,10.3433451755428,11.4176137505269
"AA504818",18.7140629813833,18.998430354633,18.9710808419687,18.9829606954991,18.9568816253436,18.998430354633,19.0726043289892,18.7462166856468,18.8963190161503,18.862646695114,19.0152404223904,18.9568816253436,19.1671198693357,19.1671198693357,19.0726043289892,18.8259460090172,18.9568816253436,19.0726043289892,18.9190661133534,18.8808848288451,19.0414810781234,19.0414810781234,18.8414535189325,18.9440821010204
"AA593742",10.7604722163096,10.680655001076,10.6114867718096,11.4350927016596,11.3977747113916,11.1672092579151,11.1729451076268,11.3598959393466,11.0577947404233,11.0624292830461,11.7310296517766,11.5624581134049,11.094555694975,10.3622641622648,12.450691583431,10.6767321384248,11.3685080142594,10.9744008979232,12.0831729805377,10.8169178681905,11.2964263641134,11.0043739011626,11.1457457765206,11.1879603763492
"AA682772",4.69401876691316,4.59355886967547,4.61736028420411,6.17102380987822,4.68724833846073,4.72664115775666,5.76529051479017,5.78334883550731,4.68391860592793,6.33532168153925,6.88767637283008,4.60145435328329,5.58387826863096,5.49919320444453,11.1395638214187,4.6408356894711,5.17615601344527,5.55598281985948,10.8344080846051,4.87757376240156,4.98252670973341,5.26051795260256,4.84313337611099,5.33880683313752
"AA778499",11.9864890901305,15.3342530976667,11.9034779781961,12.1299378661189,11.396740263683,12.0212000065247,11.8501208293774,11.520101142052,12.2674790624663,12.1495019566137,11.4609006014513,11.6733887498975,11.9089010763208,12.3204065233198,9.5300393479551,11.9816244657007,11.8851715638323,12.414327122099,10.1986056285133,12.0697113870264,11.6209028926199,12.0564613333706,11.4549375678131,12.350547404648
"AAAS",10.6883710940179,10.4452841934618,11.0970591040493,10.955007400989,10.9401416090874,10.6670391495696,10.7423476430533,11.408467940042,10.3033772501904,10.9078884791842,10.6688642069976,10.8165547798411,10.4016091809223,10.5029921057177,12.2062626316505,10.8749846545368,10.51709402658,10.3840101233176,12.2994382310667,10.4552535934917,10.3968840934563,10.6370808012989,10.9191909348388,10.7416195997222
"AACS",8.94760260510936,10.2499376598016,10.0825716815203,9.71913005393323,9.57528868969556,10.0204413158954,10.1365167462519,9.66855598519872,10.3224252684552,10.2449012574466,10.278269894529,9.99267584503338,11.3756516747668,10.6712158784318,10.9719131694579,10.072574019373,9.98646035599538,10.8648185619737,10.2123145077056,10.5705535040072,10.0055591254148,10.5057083511966,9.95642008699058,10.5078330527602
"AACSP1",9.79756625028405,9.82857631020966,9.99900628619191,9.57953753979492,9.77854027114979,9.64791816078592,9.58556700639069,9.68612503639129,9.88441166884807,9.80552478788344,9.46208149104116,9.50251925537469,9.15305710391218,9.59132846610995,10.4351162655851,9.59158542750657,9.12490845996313,9.52673581579431,10.1179523769611,9.95183913808243,9.37739098446328,9.23344402174296,9.2782047745991,9.55457142692573
"AADAC",7.11572437994001,8.07302730429265,7.55594141223386,7.2564286863579,7.36493712927499,7.76948975431851,7.96022445822631,7.63176982129507,7.94816985692569,7.50074218860826,7.86977582145575,8.10233846373036,8.38252880398077,8.16753153230333,9.1894345121531,7.56757283243291,8.4738358300912,8.43411568497243,8.78418885204248,8.02299674217432,8.20085641366787,8.40852512019078,7.76278336008621,7.5191215414209
"AADACL2",8.00178009389219,9.26638789764642,9.09847659348923,9.47523751751476,9.35975452549942,8.46561209649787,8.51695423822449,11.3137987478549,9.09932576268982,8.20982842787174,8.36057298469868,8.77392350176606,8.66977346854774,8.57055822285401,9.42064179821469,9.10115351138104,8.40955374942313,8.62472093160167,9.50069842207545,8.41977374568604,7.67261173694407,8.57212746064769,8.55333263639805,7.8951661313191
"AADACL2-AS1",9.37906534151371,9.25080422529831,8.94521150591133,8.65282289197466,8.88063748062752,8.49232490702366,9.13695109902461,9.08121685156859,8.18888645295189,9.01944996810685,7.72190845758374,9.06250660350042,7.9117414321057,8.39376047543797,8.12683865101718,8.64237939418772,8.36107708140855,8.05588437866797,7.8713521035905,8.27849324817699,8.87989484722023,9.69074006661735,9.26866499403049,8.96250445352015
"AADACL3",17.1881073323231,17.5805439476922,17.2550239651754,17.0959136918826,17.0772848454762,17.1881073323231,17.1656411191681,16.8676759376474,17.5279033661018,16.9190848684631,17.4734498964182,17.0301093045811,17.8692006056862,17.251909829597,15.6331343838434,17.1504524197737,17.4976360558019,17.4648561956022,15.755955059471,17.1881073323231,17.1656411191681,16.9608852643833,16.9677210992755,17.242847308567
"AADACL4",11.6440253175895,11.9486317976653,12.2006517905338,11.306946798812,11.381177814145,11.1708467227019,11.8436640189852,11.5508008495667,11.5021613684924,11.930177040282,10.2023189984515,12.0400542604646,10.6537020866816,10.9573347407108,9.32554451264766,12.3949834209711,11.1162336675933,10.1879663021613,10.3161095451246,12.023519382914,12.2830937647294,10.8806900164317,12.627065164828,10.4862294034064
"AADACP1",10.8913393456023,11.4670949481939,10.9931531574317,10.8078224625651,10.870599686443,11.0419044694917,11.0421277306913,10.7396423883944,11.1614693098201,10.3744330266565,10.4950775479396,10.7929633558874,11.1788343326267,10.9880831302203,11.1779825037387,10.919936488143,11.0692681664111,10.9337627205554,10.7334336744969,11.0987311098192,10.369057781504,10.4312180837981,10.6509859923932,10.6560971734763
"AADAT",8.1558290308478,7.53098206227611,8.16538188709347,7.67754746910167,7.22728278255597,7.39145649191703,7.87253156968894,7.35257133388649,6.77510594053623,7.70294914021692,7.61926843810376,8.14139729008935,8.04714547547968,4.67380906858607,9.765653075244,6.04960074812733,7.9739722108843,6.64579504206242,8.46081707365941,7.82125062339624,8.03325958519559,7.89954209742363,7.51641842567968,6.0568822720206
"AAED1",4.62760593840225,4.85506219199654,4.79622105742879,4.67332281467985,4.94417782752163,4.699049449447,4.66050679720791,4.87287060526088,4.67492884020676,4.60752741520419,7.56171606644355,4.6523298900155,4.69749659090159,4.68538245151399,10.861995653016,5.37427380417018,4.65926104960174,4.58836187555471,9.82397322130841,4.63243904387187,4.62421873282155,4.62991520523012,4.59897893304516,4.66171303132259
"AAGAB",11.0951734965368,12.020238910413,12.6473120997065,12.174983531698,13.0261527318995,13.3628633169294,12.8795972936496,11.6405698395443,11.8398339657604,12.7492457634474,13.3067526895169,11.9090984031259,11.3097726923352,11.7347451392582,13.1466865938587,11.9968671516888,13.9539435875381,11.79434313787,13.2545086722107,12.7181738128778,11.2248510987745,12.6758988791514,12.0027279800832,10.9936490346888
"AAK1",15.6070283455865,15.6242820726726,15.7201465717074,15.2143698056735,15.6814741729382,15.5884792494969,15.7051719893223,15.5952117363066,15.6017129977833,15.4463941545527,15.2372780469368,15.4698629312085,15.0623044188257,15.6440751922223,13.6608246146616,15.6845600727014,15.2980416410339,15.224934347306,13.4157545637753,15.7013089091506,15.4685471748323,15.1235298746275,15.7051719893223,14.9368619687121
"AAMDC",10.5819696211166,10.6591731751257,10.529239007041,10.8521450566022,11.0517465284446,10.7106954188966,11.074408500277,11.1158206374617,10.6699246553784,10.5535752899579,11.4014719320382,10.5816500851624,11.1491759796502,10.6156823050054,12.1498821260854,10.4548726861593,11.2258428630323,10.7227676633663,12.1402161864972,10.5152661171786,10.3475983526662,10.4431101122997,10.6209750039504,10.8677757164289
"AAMP",9.95714154977231,10.0378865669665,10.1954008632099,10.4498966212164,9.73297621133855,10.0035359864591,9.80185306393919,9.77717864131898,10.3394132077809,10.3425591342832,9.65149420810682,10.1379979917556,9.62883904812709,10.2875077384839,10.7857652101861,10.4931061949439,11.5808416878214,10.5591399522941,10.8507856567713,11.2850719979283,9.7623312916765,9.84665783199798,9.39617674706992,10.7206649521281
"AANAT",14.501761109584,14.2228231236667,14.0528130624255,13.8962056990349,13.6878971230366,13.8299345358683,13.7076139533644,13.8752022115092,13.8643697670068,13.4578602514818,13.1043991828424,13.8251268337104,13.5043004046167,13.1938129488424,11.9744571883266,13.7863377619202,13.1638414467718,13.0129597881954,12.3597705291112,14.0077335193711,13.6084436550516,13.0415200494261,13.9591412122605,13.5046917563031
"AAR2",9.94621264248692,10.100195471374,9.9989033292264,10.4038171001765,10.238063585171,10.0850165942485,10.4690934940561,10.4313387503918,10.1989886842906,10.3958067800906,10.5835259755275,10.6933245222645,10.1887289853066,10.4757875723387,11.6987651773755,10.1253057401781,10.4279859599235,10.4295582225814,11.7436784231798,10.1752802390521,10.2193060009875,10.1798761170322,10.5117889465657,10.3614404706902
