"","GSM1248759","GSM1248760","GSM1248761","GSM1248762","GSM1248763","GSM1248764","GSM1248765","GSM1248766","GSM1248767","GSM1248768","GSM1248769","GSM1248770","GSM1248771","GSM1248772","GSM1248773","GSM1248774","GSM1248775","GSM1248776","GSM1248777","GSM1248778","GSM1248779","GSM1248780","GSM1248781","GSM1248782","GSM1248783","GSM1248784","GSM1248785","GSM1248786","GSM1248787","GSM1248788","GSM1248789","GSM1248790","GSM1248791","GSM1248792","GSM1248793","GSM1248794","GSM1248795","GSM1248796","GSM1248797","GSM1248798","GSM1248799","GSM1248800","GSM1248801","GSM1248802","GSM1248803","GSM1248804","GSM1248805","GSM1248806","GSM1248807","GSM1248808"
"A1BG",9.22458429786836,9.47925325288154,9.34777298797813,9.05644638541356,9.92471329251262,9.70417418652349,9.49208540447865,9.54285022885576,9.99154157582978,10.0064142967278,9.43703090903522,9.15590939519711,9.18052228240215,9.07414870882699,8.55596848846711,9.46651529143926,9.05598591169671,9.52425638729279,9.39268162227025,9.25466270095941,8.6042123103003,8.36978901289321,8.92111348814699,8.43210650547122,9.24531419430795,9.7812962980112,8.51004866407699,8.57344761459183,9.34921044220614,8.99740546719122,10.1144410518323,9.64488115574834,10.0920881757518,9.89431241790452,10.8115621050408,8.42421364056863,10.4553827202633,9.98478207751037,10.6201166952248,10.4814856072853,9.64356139536706,10.9550727009473,10.8396218181167,10.095371863132,9.60829872513585,10.7642883488714,9.59741178120234,11.2198689877667,10.5273830970712,10.4837136938456
"A1BG-AS1",7.44731213706913,7.19320834671381,7.47452205450271,7.04449077502302,8.2641745451359,7.81040265881077,7.50573178222332,7.01086899977456,7.7968098171757,8.30878360352566,7.66837699371387,7.23372980505953,7.33605555417677,7.06154856555092,7.5103865887705,7.79142725449156,7.34255010511804,7.56903108142173,7.72979110877162,7.52409104782366,7.47472740433067,6.34294932272931,7.45174638198409,6.68040979501448,6.76620240857906,7.38046996096656,6.22092923169569,6.80252382097237,7.24079468217997,6.76634154583626,8.48645223396038,7.71447061703344,7.80055280292706,7.90905473438919,7.97858685580161,5.85353553175298,8.1591354397679,7.25905307975347,8.41643939992516,8.03709163530463,7.52451370310809,8.40248001958385,7.92742333684036,8.21549932586029,6.1254799752308,7.31601099755316,7.07901863364422,8.14514266364012,8.35801382211227,6.75382849801328
"A1CF",6.34351530373936,6.13930596338012,5.55170410505165,5.37764062250339,5.98240813582603,6.13159445021943,6.22784952009455,5.71228647188884,5.61727116124248,5.62965380543032,4.64287917421992,5.55725231053143,5.46324619664497,6.1229825373473,5.63943591207675,5.78683507514811,5.61160946747586,6.21094939460518,6.04008063989995,6.23461238941061,5.7569005689828,5.03743923563647,5.72328273975088,5.35902412249986,5.56461904872035,5.03076003731397,7.0483396825505,6.39957893997149,6.28346679665042,5.87889949569695,5.00596880387058,5.46386934305523,5.66157593199962,5.27478528321325,5.03625222936585,4.98884628987011,6.44974526917955,5.7538414301735,6.09314612859421,5.27161055169034,5.94010152861446,6.08305300097846,6.65470198646725,5.47277644371667,5.87282849119097,5.63633313082948,6.38248526390832,6.35819181364184,6.22744739963077,5.92448244179277
"A23747",10.0948243689917,10.6816423936653,10.1888639572357,10.9111104129391,10.1708938040731,9.83181011865503,10.382375262643,10.3182718388588,10.8666859034195,10.1361656173033,10.6301427790667,10.7320817698157,10.6404560194502,10.1277445773393,10.5636975216576,10.4389843042191,9.72731896490672,10.8811017554766,11.4026050946089,11.6673237836508,11.0382086025886,11.1963888146629,11.8877850161462,11.5585057228125,11.1437015204232,11.5171238887959,10.7417109240012,11.238386678098,11.2312019998331,11.0533420412762,10.0658645875397,10.9316817418707,10.4309703671252,10.3894354826186,10.4861911287651,9.76987500241101,11.7000725493852,11.0264689035591,10.2651966970327,11.6641989170902,11.8439456124007,9.47783552023987,10.8153896146335,10.6438643614331,10.7538994312919,9.8181958675037,10.1595823132766,10.7831525562814,9.6280110913511,10.499559004642
"A25969",5.5859647342247,6.16171059618586,5.89054380106785,4.5885527075655,5.68048155265536,6.16846980374709,6.34207595969876,5.6921015893036,5.73720265150813,5.57006823909059,5.7347286591622,5.58189044876395,5.80017080687169,5.59090211176119,5.71679098976543,4.76694407336913,5.44853162846165,5.47525647801255,5.74111302943903,5.43159120129216,5.16319843162927,6.01155054894154,5.52372959822038,6.52079082980146,5.74527072585928,5.9091238510914,5.2495779984511,6.0691705666028,5.98119975108376,5.53355046946622,5.61495736501907,4.96827441391827,4.68851807516798,5.95874444407146,5.88220775130654,5.69802865174628,5.82402204206799,5.58754858628151,4.98422161293619,5.95430430213858,5.43439563104425,5.43862526674199,5.79368144329156,5.91247712650708,5.95550841679837,6.09845058727537,5.4859907358453,5.81862656316335,5.50586130084352,5.38702546600726
"A2LD1",6.92645776353748,6.93181738101632,7.98385027079255,7.69621441014594,9.03796332610376,7.84593950943031,7.43688670210944,7.97615163249107,7.72748444030801,9.10301285596519,7.91454943266857,8.26136937296514,8.01960825143831,8.28963285919231,8.23180439073432,7.68669290819971,8.55920098467147,7.22381593362914,8.06257930912032,7.38220504601707,7.26124606629071,7.81942987470288,7.48808994426528,7.27786763660593,7.29573946890606,7.54403354490104,7.44403976233107,7.38302256945645,8.7161677439485,7.82154463462036,8.28283950923217,8.03064934359388,7.63353494892415,7.61352328696103,9.32307886300875,8.58970948724264,8.24879681596527,7.26171577135284,7.66316360941916,7.92909542447607,7.75817231555214,8.38015349339815,8.39107271609816,7.83624891024622,8.342892087365,8.11386833108728,8.51427927054462,8.64877535074003,9.28058433500113,7.22152357166635
"A2M",15.0463597888817,14.5821906427327,15.7631598970085,14.9349961084522,14.8216805277341,14.9839097116331,14.6459018511362,15.3265325098142,14.4974436104634,14.9809252682298,16.1257161614367,16.0214685507327,15.6606202148335,15.9764878150773,16.5262581822975,16.1791699372479,15.7968689132887,16.0214685507327,15.8531334055337,16.1406670355705,16.3350528566537,15.951004495383,16.5516886481718,16.2404285445018,15.347756089227,15.1520085837697,16.6832342535305,16.7102748434167,16.2198132641927,16.3707406727935,16.3920703178443,16.2247098089589,16.2147128064385,16.4544840348411,15.9646673951544,16.0957278235,15.9646673951544,15.7968689132887,16.76986528831,16.2552738907376,16.5593442474645,15.9952349949676,16.0347235423599,15.9090663647755,15.2849253672907,14.7323575937767,16.1160371075,16.6031755819048,16.2823138430947,15.1814044840111
"A2ML1",3.72106369660793,3.85704237560608,4.76566846154069,4.12571656815323,2.45087015962414,3.72221709068639,3.01700270179904,4.48664005052725,4.96268204447772,2.15972136634533,1.95933140767648,2.5835465100808,2.66439261280204,2.51644610912462,2.52877585400661,2.34401867809096,3.2265283070679,3.42400307001554,3.21904335383129,2.55849074969397,1.95187908304877,2.46204864931908,2.39942906099383,2.27941497753068,3.18784207952409,3.60367764455801,2.17233454291757,2.31014414897562,2.1697556226956,2.08445756270424,1.90022000832557,2.4015052183094,2.01418146251588,2.50992959419987,1.99667154939301,2.02524619840094,2.67633705093696,2.59685714916268,2.32879601108692,2.38771484788437,2.03722076933384,3.10624060953703,2.87423101457174,2.52524820922712,3.15360038388304,2.55002475483306,2.17652741579052,3.25964220840807,2.54314363012371,2.7331884472194
"A4GALT",12.9868886260912,13.4981795506359,13.3792096146857,13.5242529143951,14.0010511503212,13.0144933261548,13.3239099620649,13.6015510959873,14.024859575366,14.1568173908376,13.937357187813,14.2176381179238,14.1065624536378,13.8893146377527,13.4800222323414,14.2196650020909,14.1454568046304,13.5282840128457,13.7685251315222,14.1142795062967,13.4953194195468,13.6877839596322,13.4566904627276,13.6298568138841,13.9219154277879,13.7323846240745,13.3599532393474,13.5745445937231,13.554953335559,13.6643283770847,13.8481944895597,14.0782635423868,14.0892933404118,13.9639050513747,13.9734282987648,14.0561353226106,13.5731013061684,14.1929664507841,13.5381248805187,13.2614659759469,13.1928214247053,12.8834367234004,13.7170270819991,13.8864127851884,14.1759118914359,14.0142313253382,13.6990158188889,12.7360738580174,13.7353151848806,13.8262108768503
"A4GNT",5.37985136975916,5.7142580217096,4.92268871348713,4.93159225776402,5.60117486824596,5.46237507271189,5.69046763676814,5.08244220336837,5.40782928148104,5.30803068913504,3.90903254257583,5.07724286557903,4.80237220791075,4.84152769004489,5.01277179313054,4.97240889464778,5.05948243322829,5.31792171814072,5.30798751795061,5.52652837249767,4.99259013311475,4.5952206099843,4.59950393609007,4.80678324753331,4.6326094672151,4.86509803178298,5.02552086827443,5.78269177317808,5.31339342179256,5.37542920749091,4.41071514817592,4.29376858195244,4.90892389086143,4.23192698495844,4.49068831294704,3.72990939112352,5.59117736143891,4.80881141962602,5.05948243322829,4.3734658930037,5.08723914701929,5.34067503886686,5.3427139134223,4.84152769004489,4.85288805572667,5.0647067938528,5.32435831047977,5.38618481704066,5.59708267868349,5.3493367951939
